Category,Subcategory,Language,Phrase,phrase_length
Admissions / Enrollment,Copy of Transcript,EN,I need a copy of my transcript,30.0
Admissions / Enrollment,Copy of Transcript,EN,Can I get my transcript printed,31.0
Admissions / Enrollment,Copy of Transcript,EN,I need my official transcript,29.0
Admissions / Enrollment,Copy of Transcript,ES,Necesito una copia de mi transcripción,38.0
Admissions / Enrollment,Copy of Transcript,ES,¿Puedo obtener mi historial académico?,38.0
Admissions / Enrollment,Guest Student Course Registration,EN,I'm a guest student trying to register for a course,51.0
Admissions / Enrollment,Guest Student Course Registration,EN,I need to register as a visiting student,40.0
Admissions / Enrollment,Guest Student Course Registration,ES,Soy estudiante invitado y necesito registrarme,46.0
Admissions / Enrollment,I need an N#,EN,I don't have my N number,24.0
Admissions / Enrollment,I need an N#,EN,How do I find my student ID number,34.0
Admissions / Enrollment,I need an N#,EN,I need my N# to register,24.0
Admissions / Enrollment,I need an N#,ES,No tengo mi número de estudiante,32.0
Admissions / Enrollment,I need an N#,ES,Necesito mi número N,20.0
Admissions / Enrollment,International Student Inquiry,EN,I'm an international student with a question about my visa status,65.0
Admissions / Enrollment,International Student Inquiry,EN,I have a question about my I-20 form,36.0
Admissions / Enrollment,International Student Inquiry,ES,Soy estudiante internacional y tengo una pregunta,49.0
Admissions / Enrollment,Non-credit Registration,EN,I want to sign up for a non-credit class,40.0
Admissions / Enrollment,Non-credit Registration,EN,Can I register for a continuing education course,48.0
Admissions / Enrollment,Non-credit Registration,ES,Quiero inscribirme en un curso sin crédito,42.0
Admissions / Enrollment,Verification Letter,EN,I need a verification letter for enrollment,43.0
Admissions / Enrollment,Verification Letter,EN,Can I get a letter proving I'm enrolled,39.0
Admissions / Enrollment,Verification Letter,ES,Necesito una carta de verificación de inscripción,49.0
Appointment,Admissions/Enrollment Appointment,EN,I have an appointment with admissions,37.0
Appointment,Admissions/Enrollment Appointment,EN,I'm checking in for my enrollment appointment,45.0
Appointment,Admissions/Enrollment Appointment,ES,Tengo una cita con admisiones,29.0
Appointment,Advising Appointment,EN,I have an appointment with my advisor,37.0
Appointment,Advising Appointment,EN,Checking in for my advising appointment,39.0
Appointment,Advising Appointment,ES,Tengo una cita con mi consejero,31.0
Appointment,ESL Advising Appointment,EN,I have an ESL advising appointment,34.0
Appointment,ESL Advising Appointment,EN,Checking in for my ESL appointment,34.0
Appointment,ESL Advising Appointment,ES,Tengo una cita de consejería de ESL,35.0
Appointment,Financial Services Appointment,EN,I have an appointment with financial aid,40.0
Appointment,Financial Services Appointment,EN,Checking in for my financial services appointment,49.0
Appointment,Financial Services Appointment,ES,Tengo una cita con servicios financieros,40.0
Appointment,New Student/Navigate Appointment,EN,I have a Navigate appointment,29.0
Appointment,New Student/Navigate Appointment,EN,Checking in for my new student appointment,42.0
Appointment,New Student/Navigate Appointment,ES,Tengo una cita de Navigate,26.0
ESL Advising,Placement Questions,EN,I have a question about my ESL placement test,45.0
ESL Advising,Placement Questions,EN,What level ESL class am I supposed to take,42.0
ESL Advising,Placement Questions,ES,Tengo una pregunta sobre mi examen de colocación de ESL,55.0
New Accepted Student / Navigate,NSCC Account Setup,EN,I need help setting up my student account,41.0
New Accepted Student / Navigate,NSCC Account Setup,EN,I can't log into my NSCC account,32.0
New Accepted Student / Navigate,NSCC Account Setup,ES,Necesito ayuda para configurar mi cuenta de estudiante,54.0
Student Financial Services,"Billing, Payments and Refunds",EN,I have a question about my bill,31.0
Student Financial Services,"Billing, Payments and Refunds",EN,I need help with a payment or refund,36.0
Student Financial Services,"Billing, Payments and Refunds",ES,Tengo una pregunta sobre mi factura,35.0
Student Financial Services,"Billing, Payments and Refunds",ES,Necesito ayuda con un pago o reembolso,38.0
Student Financial Services,Book Voucher Questions,EN,I have a question about my book voucher,39.0
Student Financial Services,Book Voucher Questions,EN,How do I use my book voucher,28.0
Student Financial Services,Book Voucher Questions,ES,Tengo una pregunta sobre mi vale de libros,42.0
Student Financial Services,Drop Off Financial Aid Forms,EN,I need to drop off my financial aid forms,41.0
Student Financial Services,Drop Off Financial Aid Forms,EN,I'm just dropping off paperwork for financial aid,49.0
Student Financial Services,Drop Off Financial Aid Forms,ES,Necesito entregar mis formularios de ayuda financiera,53.0
Student Financial Services,FAFSA or MASFA Application Assistance,EN,I need help with my FAFSA,25.0
Student Financial Services,FAFSA or MASFA Application Assistance,EN,Can someone help me fill out FAFSA or MASFA,43.0
Student Financial Services,FAFSA or MASFA Application Assistance,ES,Necesito ayuda con mi FAFSA,27.0
Student Financial Services,Health Insurance Waiver Assistance,EN,I need to waive my health insurance,35.0
Student Financial Services,Health Insurance Waiver Assistance,EN,I have a question about the insurance waiver,44.0
Student Financial Services,Health Insurance Waiver Assistance,ES,Necesito exonerar mi seguro médico,34.0
Student Financial Services,Questions about Free Community College,EN,I have a question about free community college,46.0
Student Financial Services,Questions about Free Community College,EN,Do I qualify for free tuition,29.0
Student Financial Services,Questions about Free Community College,ES,Tengo una pregunta sobre la universidad comunitaria gratuita,60.0
Student Financial Services,SFS Course Withdrawal Questions,EN,I have a financial question about withdrawing from a course,59.0
Student Financial Services,SFS Course Withdrawal Questions,ES,Tengo una pregunta financiera sobre darme de baja de un curso,61.0
Student Financial Services,SFS General Questions,EN,I have a general question for financial services,48.0
Student Financial Services,SFS General Questions,ES,Tengo una pregunta general para servicios financieros,53.0
Admissions / Enrollment,Copy of Transcript,EN,"Hey, I need a copy of my transcript, can you help me out?",57.0
