Category,Subcategory,Language,Phrase
Admissions / Enrollment,Application Assistance,EN,"Hey, I need some help with my application, can you help?"
Admissions / Enrollment,Application Assistance,EN,"I'm stuck on the admissions form, can you walk me through it?"
Admissions / Enrollment,Application Assistance,EN,Do you have any tips for filling out the application?
Admissions / Enrollment,Application Assistance,EN,"I don't understand this section of the application, can you clarify?"
Admissions / Enrollment,Application Assistance,EN,"I’m having trouble uploading my documents, what should I do?"
Admissions / Enrollment,Application Assistance,EN,Can you check if my application is complete?
Admissions / Enrollment,Application Assistance,EN,What’s the deadline for submitting my application?
Admissions / Enrollment,Application Assistance,EN,I need assistance with the financial aid part of my application.
Admissions / Enrollment,Application Assistance,EN,How do I add my recommendation letters to my application?
Admissions / Enrollment,Application Assistance,EN,Can you show me where to find the application guidelines?
Admissions / Enrollment,Application Assistance,EN,I’m confused about the essay requirement for the application.
Admissions / Enrollment,Application Assistance,EN,Is there a way to save my application progress?
Admissions / Enrollment,Application Assistance,EN,"I forgot my login for the application portal, can you help me reset it?"
Admissions / Enrollment,Application Assistance,EN,Can you explain the difference between early decision and regular admission?
Admissions / Enrollment,Application Assistance,EN,"I'm not sure if my high school transcripts have been sent, how can I verify that?"
Admissions / Enrollment,Application Assistance,EN,What happens after I submit my application?
Admissions / Enrollment,Application Assistance,EN,Do I need to submit a separate form for scholarships?
Admissions / Enrollment,Application Assistance,EN,I missed the information session; can you give me a quick rundown?
Admissions / Enrollment,Application Assistance,EN,How do I make sure my application stands out?
Admissions / Enrollment,Application Assistance,EN,I need some advice on my personal statement for the application.
Admissions / Enrollment,Application Assistance,EN,Where do I go to check the status of my application?
Admissions / Enrollment,Application Assistance,EN,I need help with my application right now!
Admissions / Enrollment,Application Assistance,EN,Can you show me how to fill out this form quickly?
Admissions / Enrollment,Application Assistance,EN,I'm running out of time to submit my application!
Admissions / Enrollment,Application Assistance,EN,"I have a question about the essay requirements, can you help me?"
Admissions / Enrollment,Application Assistance,EN,Where do I find the enrollment paperwork? It's urgent!
Admissions / Enrollment,Application Assistance,EN,"I can't find the application deadlines, can you assist me?"
Admissions / Enrollment,Application Assistance,EN,"I'm confused about the fee waiver section, can you explain it?"
Admissions / Enrollment,Application Assistance,EN,I need to upload my transcripts but I'm not sure how!
Admissions / Enrollment,Application Assistance,EN,Can you help me double-check my application before I submit it?
Admissions / Enrollment,Application Assistance,EN,I can't remember my login information for the application portal!
Admissions / Enrollment,Application Assistance,EN,Is there someone who can assist me with the financial aid forms?
Admissions / Enrollment,Application Assistance,EN,I need to know what documents I need for my application ASAP!
Admissions / Enrollment,Application Assistance,EN,Can I get assistance with the online application? I'm panicking!
