text,category,subcategory
I need to register for ESL classes,ESL Advising,ESL Advising and Registration
What level ESL class am I supposed to take?,ESL Advising,Placement Questions
i need to register for esl classes,ESL Advising,ESL Advising and Registration
I want to talk to someone about English language courses,ESL Advising,ESL Advising and Registration
Quiero hablar sobre cursos de ESL,ESL Advising,ESL Advising and Registration
Quiero hablar sobre cursos de ESL.,ESL Advising,ESL Advising and Registration
I have a question about my ESL placement test,ESL Advising,Placement Questions
i have a question about my esl placement test,ESL Advising,Placement Questions
necesito registrarme en clases de inglés,ESL Advising,ESL Advising and Registration
What level ESL class am I supposed to take,ESL Advising,Placement Questions
I have a question about my ESL placement test.,ESL Advising,Placement Questions
I have a question about my ESL placement test?,ESL Advising,Placement Questions
I want to talk to someone about English language courses?,ESL Advising,ESL Advising and Registration
Necesito registrarme en clases de inglés,ESL Advising,ESL Advising and Registration
Necesito registrarme en clases de inglés?,ESL Advising,ESL Advising and Registration
I want to talk to someone about English language courses.,ESL Advising,ESL Advising and Registration
quiero hablar sobre cursos de esl,ESL Advising,ESL Advising and Registration
i want to talk to someone about english language courses,ESL Advising,ESL Advising and Registration
I need to register for ESL classes.,ESL Advising,ESL Advising and Registration
what level esl class am i supposed to take,ESL Advising,Placement Questions
I need to register for ESL classes?,ESL Advising,ESL Advising and Registration
Necesito registrarme en clases de inglés.,ESL Advising,ESL Advising and Registration
necesito darme de baja de una clase,Advising,Course Withdrawal
Necesito una evaluación de mi título.,Advising,Degree Evaluation
Quiero inscribirme en cursos para el próximo semestre,Advising,Course Registration
Can I get help picking my classes,Advising,Course Registration
i need to register for classes,Advising,Course Registration
I need to register for classes.,Advising,Course Registration
I want to talk to someone about transferring,Advising,Transfer Advising
Necesito registrarme para clases.,Advising,Course Registration
I want to change my major.,Advising,Change of Program
I want to talk to someone about transferring?,Advising,Transfer Advising
Necesito una evaluación de mi título,Advising,Degree Evaluation
How do I switch my program of study,Advising,Change of Program
I need to withdraw from a class?,Advising,Course Withdrawal
I need to register for classes?,Advising,Course Registration
How do I switch my program of study?,Advising,Change of Program
how do i switch my program of study,Advising,Change of Program
Can I get help picking my classes?,Advising,Course Registration
quiero inscribirme en cursos para el próximo semestre,Advising,Course Registration
Necesito registrarme para clases?,Advising,Course Registration
necesito consejería sobre transferencia,Advising,Transfer Advising
Necesito consejería sobre transferencia?,Advising,Transfer Advising
i want to talk to someone about transferring,Advising,Transfer Advising
Necesito darme de baja de una clase,Advising,Course Withdrawal
I want to sign up for next semester's courses,Advising,Course Registration
I need to know how many credits I have left?,Advising,Degree Evaluation
I want to change my major?,Advising,Change of Program
Quiero cambiar mi programa de estudios,Advising,Change of Program
I need to withdraw from a class.,Advising,Course Withdrawal
I need to know how many credits I have left,Advising,Degree Evaluation
i want to change my major,Advising,Change of Program
Quiero cambiar mi programa de estudios.,Advising,Change of Program
can i get help picking my classes,Advising,Course Registration
I want to sign up for next semester's courses.,Advising,Course Registration
Quiero inscribirme en cursos para el próximo semestre?,Advising,Course Registration
I want to change my major,Advising,Change of Program
i need to withdraw from a class,Advising,Course Withdrawal
necesito una evaluación de mi título,Advising,Degree Evaluation
How do I switch my program of study.,Advising,Change of Program
Can I get help picking my classes.,Advising,Course Registration
Checking in for my advising appointment.,Appointment,Advising Appointment
Tengo una cita con admisiones,Appointment,Admissions/Enrollment Appointment
Checking in for my ESL appointment.,Appointment,ESL Advising Appointment
I'm checking in for my enrollment appointment?,Appointment,Admissions/Enrollment Appointment
tengo una cita con mi consejero,Appointment,Advising Appointment
I have an appointment with financial aid.,Appointment,Financial Services Appointment
Checking in for my advising appointment?,Appointment,Advising Appointment
i have an esl advising appointment,Appointment,ESL Advising Appointment
Checking in for my new student appointment,Appointment,New Student/Navigate Appointment
I have an appointment with admissions,Appointment,Admissions/Enrollment Appointment
Tengo una cita con mi consejero,Appointment,Advising Appointment
checking in for my esl appointment,Appointment,ESL Advising Appointment
Tengo una cita de Navigate.,Appointment,New Student/Navigate Appointment
Checking in for my new student appointment.,Appointment,New Student/Navigate Appointment
I have a Navigate appointment,Appointment,New Student/Navigate Appointment
I'm checking in for my enrollment appointment.,Appointment,Admissions/Enrollment Appointment
I have an ESL advising appointment.,Appointment,ESL Advising Appointment
tengo una cita de navigate,Appointment,New Student/Navigate Appointment
i have a navigate appointment,Appointment,New Student/Navigate Appointment
I'm checking in for my enrollment appointment,Appointment,Admissions/Enrollment Appointment
I have a Navigate appointment?,Appointment,New Student/Navigate Appointment
Checking in for my financial services appointment,Appointment,Financial Services Appointment
Tengo una cita de Navigate,Appointment,New Student/Navigate Appointment
i have an appointment with admissions,Appointment,Admissions/Enrollment Appointment
Checking in for my ESL appointment,Appointment,ESL Advising Appointment
checking in for my new student appointment,Appointment,New Student/Navigate Appointment
I have an ESL advising appointment,Appointment,ESL Advising Appointment
Tengo una cita con admisiones?,Appointment,Admissions/Enrollment Appointment
Checking in for my ESL appointment?,Appointment,ESL Advising Appointment
