text,category
"I need a copy of my transcript",Admissions
"I want to register for classes",Advising
"I need help with FAFSA",Financial Services
"termine el exam",ESL Advising
"i took the test",ESL Advising
"necesito ayuda",ESL Advising
"I need to set up my Navigate account",New Student Navigate
"I have questions about placement tests",New Student Navigate
"What placements do I need to take",New Student Navigate
"I have an appointment",Appointment
"I'm here for my meeting",Appointment
"I have an advising appointment",Appointment
